day,month,year,last.name,first.name,diversity,pot,treatment,rep,bin,shoot,genotype,sampled,length.cm,lesion,lesion.group,lesion.cover,lc.FS,microbe.sample,shoot.damage,senescence,collection.disease.notes,collection.shoot.notes,collection.notes,extraction.year,extraction.month,extraction.day,researcher,Plate.ID,Well.ID,sample.position,sample.weight.mg,extraction.notes,Cq.Mean,Cq.Std.Dev,copy.no,copy.no/extraction,copy.no/cell,cells/uL,cells/extraction,cell/mg,cells.present,qPCR.trial.ID
14,september,2015,dubois,katie,mono,mono.white,cold,1,2,3,white,1,55,1,>10,10,10,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4B,m,3.02,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.white,cold,1,2,4,white,1,54,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4C,m,2.51,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.yellow,cold,1,2,1,yellow,1,50.5,1,>10,20,20,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4D,m,3.08,.,31.91,0.018,138.3268381,13832.68381,854.6180529,0.161858081,16.1858081,5.255132501,1,T34
14,september,2015,dubois,katie,mono,mono.yellow,cold,1,2,2,yellow,1,40.5,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4E,m,3.49,.,29.25,0.225,819.8095207,81980.95207,854.6180529,0.959270071,95.92700714,27.48624847,1,T34
14,september,2015,dubois,katie,mono,mono.yellow,cold,1,2,3,yellow,1,37.5,1,<1,NA,0.5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4F,m,3.87,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.yellow,cold,1,2,4,yellow,1,42.5,1,>10,10,10,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4G,m,2.62,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,poly,mix.3,cold,1,2,5,orange,1,39,1,>10,10,10,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4H,m,3.16,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,poly,mix.3,cold,1,2,5,purple,1,54,1,>10,30,30,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5A,m,2.97,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,poly,mix.3,cold,1,2,5,white,1,39,0,0,0,0,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5B,m,3.49,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,poly,mix.4,cold,1,2,5,brown,1,43,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5C,m,2.61,.,31.56,0.258,174.8201613,17482.01613,854.6180529,0.204559406,20.4559406,7.837525135,1,T34
14,september,2015,dubois,katie,poly,mix.4,cold,1,2,5,green,1,21,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5D,m,3.48,.,29.22,0.238,836.4284964,83642.84964,854.6180529,0.978716157,97.8716157,28.1240275,1,T34
14,september,2015,dubois,katie,poly,mix.4,cold,1,2,5,red,1,45.5,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5E,m,3.78,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,poly,mix.4,cold,1,2,5,yellow,1,50.5,1,<10,NA,5,1,0,0,.,.,.,2017,october,26,schenck,BWE_P1,5F,m,3.56,.,0,0,0,0,1096.042235,0,0,0,0,T35
14,september,2015,dubois,katie,poly,mix.10,cold,2,4,5,white,1,40,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,10A,m,2.8,.,0,0,0,0,772.949327,0,0,0,0,T29
14,september,2015,dubois,katie,poly,mix.9,cold,2,4,5,blue,1,26,0,0,0,0,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,10B,m,2.04,.,0,0,0,0,772.949327,0,0,0,0,T29
14,september,2015,dubois,katie,poly,mix.9,cold,2,4,5,green,1,21,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,10C,m,3.49,.,0,0,0,0,772.949327,0,0,0,0,T29
14,september,2015,dubois,katie,poly,mix.9,cold,2,4,5,red,1,39,1,<10,NA,5,0,0,0,.,tip of leaf aged,.,2016,december,10,schenck,BWE_P3,10D,m,3.39,.,0,0,0,0,772.949327,0,0,0,0,T29
14,september,2015,dubois,katie,poly,mix.9,cold,2,4,5,yellow,1,46,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,10E,NA,2.55,.,0,0,0,0,772.949327,0,0,0,0,T29
14,september,2015,dubois,katie,mono,mono.blue,cold,2,4,1,blue,1,55.5,1,<10,NA,5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,5G,m,3.04,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.blue,cold,2,4,2,blue,1,29,0,0,0,0,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,5H,m,2.29,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.blue,cold,2,4,3,blue,1,49,1,>10,15,15,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6A,m,3.46,.,0,0,0,0,772.949327,0,0,0,0,T28&29
14,september,2015,dubois,katie,mono,mono.blue,cold,2,4,4,blue,1,50,1,<10,NA,5,0,0,0,.,tip of leaf aged,.,2016,december,9,schenck,BWE_P3,6B,m,3.99,.,35.32,NA,6.952433679,695.2433679,698.02,0.00996016,0.996015987,NA,NA,T28&29
14,september,2015,dubois,katie,mono,mono.brown,cold,2,4,1,brown,1,40.5,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6C,m,3.39,.,35.01,NA,8.613389164,861.3389164,698.02,0.012339669,1.23396694,NA,NA,T28&29
14,september,2015,dubois,katie,mono,mono.brown,cold,2,4,2,brown,1,44,1,>10,25,25,0,1,0,.,end of shoot looks desicated,.,2016,december,9,schenck,BWE_P3,6D,m,3.22,.,33.07,0.094,29.20286978,2920.286978,772.949327,0.037781092,3.778109219,1.173325845,1,T28&29
14,september,2015,dubois,katie,mono,mono.brown,cold,2,4,3,brown,1,35,1,>10,10,10,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6E,m,2.85,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.brown,cold,2,4,4,brown,1,51,1,<10,NA,5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6F,m,3.62,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.green,cold,2,4,1,green,1,17,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6G,m,2.44,.,35.38,NA,6.670058637,667.0058637,698.02,0.009555625,0.955562519,NA,NA,T28&29
14,september,2015,dubois,katie,mono,mono.green,cold,2,4,2,green,1,28,1,<10,NA,5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,6H,m,3.25,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.green,cold,2,4,3,green,1,27,1,<10,NA,5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,7A,m,2.54,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.green,cold,2,4,4,green,1,17,1,<10,NA,5,0,0,0,.,.,.,2016,december,9,schenck,BWE_P3,7B,m,2.8,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.orange,cold,2,4,1,orange,1,40,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,7C,m,3.81,.,32.98,0.161,35.02819568,3502.819568,698.02,0.050181914,5.018191401,1.317110604,1,T28
14,september,2015,dubois,katie,mono,mono.orange,cold,2,4,2,orange,1,41,0,0,0,0,0,0,0,.,tip of leaf aged,.,2016,december,10,schenck,BWE_P3,7D,m,2.55,.,35.57,NA,5.849339687,584.9339687,698.02,0.008379851,0.837985102,NA,NA,T28&29
14,september,2015,dubois,katie,mono,mono.orange,cold,2,4,3,orange,1,37,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,7E,m,2.94,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.orange,cold,2,4,4,orange,1,42,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,7F,m,2.65,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.purple,cold,2,4,1,purple,1,32,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,7G,m,2.37,.,0,0,0,0,772.949327,0,0,0,0,T28&29
14,september,2015,dubois,katie,mono,mono.purple,cold,2,4,2,purple,1,38,1,<1,NA,0.5,1,0,0,.,.,.,2016,december,10,schenck,BWE_P3,7H,m,2.71,.,0,0,0,0,772.949327,0,0,0,0,T28&29
14,september,2015,dubois,katie,mono,mono.purple,cold,2,4,3,purple,1,33,1,<10,NA,5,0,0,1,.,leaf aged,.,2016,december,10,schenck,BWE_P3,8A,m,3.52,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.purple,cold,2,4,4,purple,1,34,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8B,m,3.26,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.red,cold,2,4,1,red,1,30,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8C,m,3.06,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.red,cold,2,4,2,red,1,52,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8D,m,2.63,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.red,cold,2,4,3,red,1,46,0,0,0,0,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8E,m,2.83,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.red,cold,2,4,4,red,1,51.5,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8F,m,2.36,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.white,cold,2,4,1,white,1,40,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8G,m,3.54,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.white,cold,2,4,2,white,1,47,1,>10,15,15,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,8H,m,3.94,.,36.15,0.409,3.917754471,391.7754471,698.02,0.005612633,0.561263331,0.142452622,1,T28
14,september,2015,dubois,katie,mono,mono.white,cold,2,4,3,white,1,44,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,9A,m,3.73,.,0,0,0,0,772.949327,0,0,0,0,T28&29
14,september,2015,dubois,katie,mono,mono.white,cold,2,4,4,white,1,27,0,0,0,0,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,9B,m,2.41,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.yellow,cold,2,4,1,yellow,1,53,1,>10,10,10,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,9C,m,3.45,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.yellow,cold,2,4,2,yellow,1,46,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,9D,m,3.22,.,35.2,NA,7.553552647,755.3552647,698.02,0.010821332,1.082133185,NA,NA,T28&29
14,september,2015,dubois,katie,mono,mono.yellow,cold,2,4,3,yellow,1,46,0,0,0,0,0,0,1,.,leaf aged,.,2016,december,10,schenck,BWE_P3,9E,m,3.74,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.yellow,cold,2,4,4,yellow,1,30,0,0,0,0,0,0,1,.,leaf aged,.,2016,december,10,schenck,BWE_P3,9F,m,2.46,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,poly,mix.10,cold,2,4,5,brown,1,41,1,<10,NA,5,0,0,0,.,.,.,2016,december,10,schenck,BWE_P3,9G,m,3.63,.,33.91,0.604,18.42069969,1842.069969,698.02,0.026389768,2.63897683,0.726990862,1,T28
14,september,2015,dubois,katie,poly,mix.10,cold,2,4,5,purple,1,30,1,<10,NA,5,0,0,1,.,leaf aged,.,2016,december,10,schenck,BWE_P3,9H,m,3.37,.,0,0,0,0,698.02,0,0,0,0,T28
14,september,2015,dubois,katie,mono,mono.blue,cold,3,5,1,blue,1,27,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3B,m,3.56,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.blue,cold,3,5,2,blue,1,27,0,0,0,0,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3C,m,3.78,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.blue,cold,3,5,3,blue,1,37,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3D,m,2.27,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.brown,cold,3,5,1,brown,1,40,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3E,m,3.12,.,36.39,NA,NA,NA,801.3391133,NA,NA,NA,NA,T30&31
14,september,2015,dubois,katie,mono,mono.brown,cold,3,5,2,brown,1,41,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3F,m,3.11,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.brown,cold,3,5,3,brown,1,35,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3G,m,2.31,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.brown,cold,3,5,4,brown,1,35,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,3H,m,3.65,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.green,cold,3,5,1,green,1,27,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4A,m,3.18,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.green,cold,3,5,2,green,1,25,1,<1,NA,0.5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4B,m,2.68,.,0,0,0,0,801.3391133,0,0,0,0,T30
14,september,2015,dubois,katie,mono,mono.green,cold,3,5,4,green,1,29,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4C,m,2.43,.,0,0,0,0,715.6892287,0,0,0,0,T31&T33
14,september,2015,dubois,katie,mono,mono.orange,cold,3,5,1,orange,1,49.5,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4D,m,3.21,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.orange,cold,3,5,3,orange,1,57,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4E,m,3.8,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.orange,cold,3,5,4,orange,1,50,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4F,m,2.23,.,35.51,0.348,7.953271082,795.3271082,927.2661687,0.008577118,0.857711771,0.384624113,1,T31
14,september,2015,dubois,katie,mono,mono.purple,cold,3,5,1,purple,1,26,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4G,m,3.2,.,35.91,0.541,6.02534565,602.534565,715.6892287,0.008418941,0.841894136,0.263091918,1,T31&T33
14,september,2015,dubois,katie,mono,mono.purple,cold,3,5,2,purple,1,51,1,>10,20,20,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,4H,m,3.71,.,28.21,0.009,1300.194995,130019.4995,927.2661687,1.402180991,140.2180991,37.79463587,1,T31
14,september,2015,dubois,katie,mono,mono.purple,cold,3,5,3,purple,1,34,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5A,m,2.47,.,0,0,0,0,927.2661687,0,0,0,0,T31
14,september,2015,dubois,katie,mono,mono.purple,cold,3,5,4,purple,1,42,1,<10,NA,5,0,0,0,.,.,.,2016,december,20,schenck,BWE_P4,5B,m,2.74,.,35.03,2.137,NA,NA,927.2661687,NA,NA,NA,NA,T31&T33
